country,year,home_ownership_rate
NL,2015,67.8
NL,2016,69.0
NL,2017,69.4
NL,2018,68.9
NL,2019,68.9
NL,2020,69.1
NL,2021,70.1
NL,2022,70.6
NL,2023,69.3
NL,2024,68.8
NL,2025,68.8
AT,2003,
AT,2004,
AT,2005,
AT,2006,
AT,2007,59.2
AT,2008,57.9
AT,2009,57.6
AT,2010,57.4
AT,2011,52.4
AT,2012,57.5
AT,2013,57.3
AT,2014,57.2
AT,2015,55.7
AT,2016,55.0
AT,2017,55.0
AT,2018,55.4
AT,2019,55.2
AT,2020,55.3
AT,2021,54.2
AT,2022,51.4
AT,2023,54.3
AT,2024,54.5
AT,2025,
PT,2003,
PT,2004,74.6
PT,2005,74.4
PT,2006,75.5
PT,2007,74.2
PT,2008,74.5
PT,2009,74.6
PT,2010,74.9
PT,2011,75.0
PT,2012,74.5
PT,2013,74.2
PT,2014,74.9
PT,2015,74.8
PT,2016,75.2
PT,2017,74.7
PT,2018,74.5
PT,2019,73.9
PT,2020,77.3
PT,2021,78.3
PT,2022,77.8
PT,2023,76.0
PT,2024,73.4
PT,2025,71.2
SI,2003,
SI,2004,
SI,2005,83.2
SI,2006,84.5
SI,2007,81.3
SI,2008,81.3
SI,2009,81.3
SI,2010,78.1
SI,2011,77.5
SI,2012,76.2
SI,2013,76.6
SI,2014,76.7
SI,2015,76.2
SI,2016,75.1
SI,2017,75.6
SI,2018,75.1
SI,2019,74.8
SI,2020,74.6
SI,2021,76.1
SI,2022,75.4
SI,2023,75.2
SI,2024,74.8
SI,2025,74.2
SK,2003,
SK,2004,
SK,2005,82.1
SK,2006,88.9
SK,2007,89.1
SK,2008,89.3
SK,2009,89.5
SK,2010,90.0
SK,2011,90.2
SK,2012,90.4
SK,2013,90.5
SK,2014,90.3
SK,2015,89.3
SK,2016,89.5
SK,2017,90.1
SK,2018,91.3
SK,2019,90.9
SK,2020,92.3
SK,2021,92.9
SK,2022,93.0
SK,2023,93.6
SK,2024,93.1
SK,2025,
FI,2003,
FI,2004,71.4
FI,2005,71.8
FI,2006,73.3
FI,2007,73.6
FI,2008,73.2
FI,2009,74.1
FI,2010,74.3
FI,2011,74.1
FI,2012,73.9
FI,2013,73.6
FI,2014,73.2
FI,2015,72.7
FI,2016,71.6
FI,2017,71.4
FI,2018,71.6
FI,2019,71.1
FI,2020,70.7
FI,2021,70.3
FI,2022,69.5
FI,2023,69.2
FI,2024,68.1
FI,2025,66.9
